"","School List","FT Male","FT Female","FT AGI","FT BIPOC","FT Total","FT White","Year","State"
"590","APPALACHIAN SCHOOL OF LAW",17,9,0,2,26,24,2020,"VIRGINIA"
"591","ARIZONA STATE UNIVERSITY",126,63,0,42,189,147,2020,"ARIZONA"
"592","ARIZONA, UNIVERSITY OF",91,72,0,28,163,135,2020,"ARIZONA"
"593","ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",41,28,0,8,69,61,2020,"ARKANSAS"
"594","ARKANSAS, LITTLE ROCK, UNIVERSITY OF",52,40,0,12,92,80,2020,"ARKANSAS"
"595","ATLANTA'S JOHN MARSHALL LAW SCHOOL",17,18,0,8,35,27,2020,"GEORGIA"
"596","AVE MARIA SCHOOL OF LAW",23,15,0,2,38,36,2020,"FLORIDA"
"597","BALTIMORE, UNIVERSITY OF",80,59,0,24,139,115,2020,"MARYLAND"
"598","BARRY UNIVERSITY",42,35,0,23,79,56,2020,"FLORIDA"
"599","BAYLOR UNIVERSITY",91,45,0,7,136,129,2020,"TEXAS"
"600","BELMONT UNIVERSITY",33,16,0,6,49,43,2020,"TENNESSEE"
"601","BOSTON COLLEGE",80,74,0,28,154,126,2020,"MASSACHUSETTS"
"602","BOSTON UNIVERSITY",128,93,0,20,221,201,2020,"MASSACHUSETTS"
"603","BRIGHAM YOUNG UNIVERSITY",58,29,0,7,87,80,2020,"UTAH"
"604","BROOKLYN LAW SCHOOL",118,81,0,30,199,169,2020,"NEW YORK"
"605","CALIFORNIA WESTERN SCHOOL OF LAW",59,54,0,24,113,89,2020,"CALIFORNIA"
"606","CALIFORNIA-BERKELEY, UNIVERSITY OF",183,119,0,64,302,238,2020,"CALIFORNIA"
"607","CALIFORNIA-DAVIS, UNIVERSITY OF",66,52,0,39,118,79,2020,"CALIFORNIA"
"608","CALIFORNIA-IRVINE, UNIVERSITY OF",79,79,1,40,159,119,2020,"CALIFORNIA"
"609","CALIFORNIA-LOS ANGELES, UNIVERSITY OF",116,85,0,44,201,157,2020,"CALIFORNIA"
"610","CAMPBELL UNIVERSITY",63,42,0,21,105,84,2020,"NORTH CAROLINA"
"611","CAPITAL UNIVERSITY",53,24,0,7,77,70,2020,"OHIO"
"612","CARDOZO SCHOOL OF LAW",200,148,0,30,348,318,2020,"NEW YORK"
"613","CASE WESTERN RESERVE UNIVERSITY",76,27,0,8,103,95,2020,"OHIO"
"614","CATHOLIC UNIVERSITY OF AMERICA",59,31,0,8,90,82,2020,"DISTRICT OF COLUMBIA"
"615","CHAPMAN UNIVERSITY",66,52,0,17,118,101,2020,"CALIFORNIA"
"616","CHARLESTON SCHOOL OF LAW",48,34,0,5,82,77,2020,"SOUTH CAROLINA"
"617","CHICAGO, UNIVERSITY OF",133,54,0,33,187,154,2020,"ILLINOIS"
"618","CHICAGO-KENT COLLEGE OF LAW-IIT",116,49,0,31,165,134,2020,"ILLINOIS"
"619","CINCINNATI, UNIVERSITY OF",54,39,0,13,93,80,2020,"OHIO"
"620","CITY UNIVERSITY OF NEW YORK",35,64,0,41,99,58,2020,"NEW YORK"
"621","CLEVELAND STATE UNIVERSITY",55,39,0,19,94,75,2020,"OHIO"
"622","COLORADO, UNIVERSITY OF",62,44,0,21,106,85,2020,"COLORADO"
"623","COLUMBIA UNIVERSITY",252,163,0,56,415,359,2020,"NEW YORK"
"624","CONNECTICUT, UNIVERSITY OF",86,43,0,16,129,113,2020,"CONNECTICUT"
"625","CORNELL UNIVERSITY",133,63,1,32,197,165,2020,"NEW YORK"
"626","CREIGHTON UNIVERSITY",40,17,0,4,57,53,2020,"NEBRASKA"
"627","DAYTON, UNIVERSITY OF",33,32,0,8,65,57,2020,"OHIO"
"628","DENVER, UNIVERSITY OF",86,68,0,25,154,129,2020,"COLORADO"
"629","DEPAUL UNIVERSITY",74,72,1,32,147,115,2020,"ILLINOIS"
"630","DETROIT MERCY, UNIVERSITY OF",49,45,0,16,94,78,2020,"MICHIGAN"
"631","DISTRICT OF COLUMBIA",24,37,0,30,61,31,2020,"DISTRICT OF COLUMBIA"
"632","DRAKE UNIVERSITY",43,34,0,8,77,69,2020,"IOWA"
"633","DREXEL UNIVERSITY",71,63,0,33,134,101,2020,"PENNSYLVANIA"
"634","DUKE UNIVERSITY",122,75,0,28,197,169,2020,"NORTH CAROLINA"
"635","DUQUESNE UNIVERSITY",60,40,0,12,100,88,2020,"PENNSYLVANIA"
"636","ELON UNIVERSITY",32,36,0,7,68,61,2020,"NORTH CAROLINA"
"637","EMORY UNIVERSITY",117,116,0,36,233,197,2020,"GEORGIA"
"638","FAULKNER UNIVERSITY",20,11,0,5,31,26,2020,"ALABAMA"
"639","FLORIDA A&M UNIVERSITY",29,32,0,42,61,19,2020,"FLORIDA"
"640","FLORIDA INTERNATIONAL UNIVERSITY",48,36,0,43,84,41,2020,"FLORIDA"
"641","FLORIDA STATE UNIVERSITY",62,37,0,12,99,87,2020,"FLORIDA"
"642","FLORIDA, UNIVERSITY OF",141,82,0,37,223,186,2020,"FLORIDA"
"643","FORDHAM UNIVERSITY",221,163,0,58,384,326,2020,"NEW YORK"
"644","GEORGE MASON UNIVERSITY",158,75,0,25,233,208,2020,"VIRGINIA"
"645","GEORGE WASHINGTON UNIVERSITY",339,160,0,64,499,435,2020,"DISTRICT OF COLUMBIA"
"646","GEORGETOWN UNIVERSITY",534,295,2,103,831,728,2020,"DISTRICT OF COLUMBIA"
"647","GEORGIA STATE UNIVERSITY",70,66,0,22,136,114,2020,"GEORGIA"
"648","GEORGIA, UNIVERSITY OF",61,45,0,14,106,92,2020,"GEORGIA"
"649","GOLDEN GATE UNIVERSITY",72,64,0,28,136,108,2020,"CALIFORNIA"
"650","GONZAGA UNIVERSITY",44,35,0,11,79,68,2020,"WASHINGTON"
"651","HARVARD UNIVERSITY",237,122,1,64,360,296,2020,"MASSACHUSETTS"
"652","HAWAII, UNIVERSITY OF",67,54,0,54,121,67,2020,"HAWAII"
"653","HOFSTRA UNIVERSITY",103,70,0,12,173,161,2020,"NEW YORK"
"654","HOUSTON, UNIVERSITY OF",143,79,0,37,222,185,2020,"TEXAS"
"655","HOWARD UNIVERSITY",45,42,0,70,87,17,2020,"DISTRICT OF COLUMBIA"
"656","IDAHO, UNIVERSITY OF",37,30,0,6,67,61,2020,"IDAHO"
"657","ILLINOIS, UNIVERSITY OF",79,52,0,19,131,112,2020,"ILLINOIS"
"658","INDIANA UNIVERSITY - BLOOMINGTON",72,44,0,11,116,105,2020,"INDIANA"
"659","INDIANA UNIVERSITY - INDIANAPOLIS",75,70,0,23,145,122,2020,"INDIANA"
"660","INTER AMERICAN UNIVERSITY OF PUERTO RICO",62,28,0,87,90,3,2020,"PUERTO RICO"
"661","IOWA, UNIVERSITY OF",51,33,0,9,84,75,2020,"IOWA"
"662","KANSAS, UNIVERSITY OF",42,29,0,6,71,65,2020,"KANSAS"
"663","KENTUCKY, UNIVERSITY OF",37,33,0,8,70,62,2020,"KENTUCKY"
"664","LEWIS AND CLARK COLLEGE",69,54,0,17,123,106,2020,"OREGON"
"665","LIBERTY UNIVERSITY",24,8,0,8,32,24,2020,"VIRGINIA"
"666","LINCOLN MEMORIAL",22,17,0,4,39,35,2020,"DISTRICT OF COLUMBIA"
"667","LOUISIANA STATE UNIVERSITY",60,28,0,9,88,79,2020,"LOUISIANA"
"668","LOUISVILLE, UNIVERSITY OF",36,24,0,7,60,53,2020,"KENTUCKY"
"669","LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES",112,83,4,38,199,161,2020,"CALIFORNIA"
"670","LOYOLA UNIVERSITY-CHICAGO",131,119,0,36,250,214,2020,"ILLINOIS"
"671","LOYOLA UNIVERSITY-NEW ORLEANS",53,32,0,17,85,68,2020,"LOUISIANA"
"672","MAINE, UNIVERSITY OF",41,29,0,2,70,68,2020,"MAINE"
"673","MARQUETTE UNIVERSITY",69,47,0,11,116,105,2020,"WISCONSIN"
"674","MARYLAND, UNIVERSITY OF",104,67,0,28,171,143,2020,"MARYLAND"
"675","MCGEORGE SCHOOL OF LAW",64,44,0,20,108,88,2020,"CALIFORNIA"
"676","MEMPHIS, UNIVERSITY OF",40,24,0,8,64,56,2020,"TENNESSEE"
"677","MERCER UNIVERSITY",45,24,0,6,69,63,2020,"GEORGIA"
"678","MIAMI, UNIVERSITY OF",221,117,0,80,338,258,2020,"FLORIDA"
"679","MICHIGAN STATE UNIVERSITY",63,46,0,13,109,96,2020,"MICHIGAN"
"680","MICHIGAN, UNIVERSITY OF",123,59,0,20,182,162,2020,"MICHIGAN"
"681","MINNESOTA, UNIVERSITY OF",134,84,0,21,218,197,2020,"MINNESOTA"
"682","MISSISSIPPI COLLEGE",32,20,0,11,52,41,2020,"MISSISSIPPI"
"683","MISSISSIPPI, UNIVERSITY OF",38,27,0,8,65,57,2020,"MISSISSIPPI"
"684","MISSOURI, UNIVERSITY OF",30,19,0,6,49,43,2020,"MISSOURI"
"685","MISSOURI-KANSAS CITY, UNIVERSITY OF",68,46,0,9,114,105,2020,"MISSOURI"
"686","MITCHELL | HAMLINE",122,107,0,22,229,207,2020,NA
"687","MONTANA, UNIVERSITY OF",15,19,0,3,34,31,2020,"MONTANA"
"688","NEBRASKA, UNIVERSITY OF",49,26,0,4,75,71,2020,"NEBRASKA"
"689","NEW ENGLAND LAW | BOSTON",67,45,0,7,112,105,2020,"MASSACHUSETTS"
"690","NEW HAMPSHIRE, UNIVERSITY OF",61,40,14,2,115,113,2020,"NEW HAMPSHIRE"
"691","NEW MEXICO, UNIVERSITY OF",50,48,0,36,98,62,2020,"NEW MEXICO"
"692","NEW YORK LAW SCHOOL",123,81,0,30,204,174,2020,"NEW YORK"
"693","NEW YORK UNIVERSITY",258,135,0,65,393,328,2020,"NEW YORK"
"694","NORTH CAROLINA CENTRAL UNIVERSITY",26,42,0,43,68,25,2020,"NORTH CAROLINA"
"695","NORTH CAROLINA, UNIVERSITY OF",74,56,0,19,130,111,2020,"NORTH CAROLINA"
"696","NORTH DAKOTA, UNIVERSITY OF",13,15,0,2,28,26,2020,"NORTH DAKOTA"
"697","NORTHEASTERN UNIVERSITY SCHOOL OF LAW",55,58,0,21,113,92,2020,NA
"698","NORTHERN ILLINOIS UNIVERSITY",30,13,0,6,43,37,2020,"ILLINOIS"
"699","NORTHERN KENTUCKY UNIVERSITY",41,21,0,8,62,54,2020,"KENTUCKY"
"700","NORTHWESTERN UNIVERSITY",146,89,0,35,235,200,2020,"ILLINOIS"
"701","NOTRE DAME, UNIVERSITY OF",92,43,0,13,135,122,2020,"INDIANA"
"702","NOVA SOUTHEASTERN UNIVERSITY",42,38,0,21,80,59,2020,"FLORIDA"
"703","OHIO NORTHERN UNIVERSITY",15,13,0,4,28,24,2020,"OHIO"
"704","OHIO STATE UNIVERSITY",73,45,0,17,118,101,2020,"OHIO"
"705","OKLAHOMA CITY UNIVERSITY",55,31,0,16,86,70,2020,"OKLAHOMA"
"706","OKLAHOMA, UNIVERSITY OF",44,30,0,10,74,64,2020,"OKLAHOMA"
"707","OREGON, UNIVERSITY OF",37,51,0,14,88,74,2020,"OREGON"
"708","PACE UNIVERSITY",60,56,0,14,116,102,2020,"NEW YORK"
"709","PENNSYLVANIA STATE - DICKINSON LAW",30,29,0,12,59,47,2020,"PENNSYLVANIA"
"710","PENNSYLVANIA STATE - PENN STATE LAW",40,24,0,9,64,55,2020,"PENNSYLVANIA"
"711","PENNSYLVANIA, UNIVERSITY OF",175,95,0,55,270,215,2020,"PENNSYLVANIA"
"712","PEPPERDINE UNIVERSITY",96,37,0,27,133,106,2020,"CALIFORNIA"
"713","PITTSBURGH, UNIVERSITY OF",97,51,0,16,148,132,2020,"PENNSYLVANIA"
"714","PONTIFICAL CATHOLIC UNIVERSITY OF P.R.",39,19,0,58,58,0,2020,"PUERTO RICO"
"715","PUERTO RICO, UNIVERSITY OF",67,42,0,108,109,1,2020,"PUERTO RICO"
"716","QUINNIPIAC UNIVERSITY",66,39,0,12,105,93,2020,"CONNECTICUT"
"717","REGENT UNIVERSITY",39,7,0,7,46,39,2020,"VIRGINIA"
"718","RICHMOND, UNIVERSITY OF",70,51,0,13,121,108,2020,"VIRGINIA"
"719","ROGER WILLIAMS UNIVERSITY",46,42,0,11,88,77,2020,"RHODE ISLAND"
"720","RUTGERS UNIVERSITY",126,88,0,40,214,174,2020,"NEW JERSEY"
"721","SAINT LOUIS UNIVERSITY",48,58,0,7,106,99,2020,"MISSOURI"
"722","SAMFORD UNIVERSITY",34,18,0,7,52,45,2020,"ALABAMA"
"723","SAN DIEGO, UNIVERSITY OF",105,55,0,17,160,143,2020,"CALIFORNIA"
"724","SAN FRANCISCO, UNIVERSITY OF",38,38,0,17,76,59,2020,"CALIFORNIA"
"725","SANTA CLARA UNIVERSITY",76,71,0,32,147,115,2020,"CALIFORNIA"
"726","SEATTLE UNIVERSITY",76,79,0,28,155,127,2020,"WASHINGTON"
"727","SETON HALL UNIVERSITY",75,53,0,13,128,115,2020,"NEW JERSEY"
"728","SOUTH CAROLINA, UNIVERSITY OF",70,42,0,12,112,100,2020,"SOUTH CAROLINA"
"729","SOUTH DAKOTA, UNIVERSITY OF",18,16,0,5,34,29,2020,"SOUTH DAKOTA"
"730","SOUTH TEXAS COLLEGE OF LAW HOUSTON",81,46,0,23,127,104,2020,"TEXAS"
"731","SOUTHERN CALIFORNIA, UNIVERSITY OF",108,66,0,28,174,146,2020,"CALIFORNIA"
"732","SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE",24,24,0,8,48,40,2020,"ILLINOIS"
"733","SOUTHERN METHODIST UNIVERSITY",100,51,0,20,151,131,2020,"TEXAS"
"734","SOUTHERN UNIVERSITY",55,54,0,78,109,31,2020,"LOUISIANA"
"735","SOUTHWESTERN LAW SCHOOL",77,72,0,40,149,109,2020,"CALIFORNIA"
"736","ST. JOHN'S UNIVERSITY",109,76,0,27,185,158,2020,"NEW YORK"
"737","ST. MARY'S UNIVERSITY",61,40,0,24,101,77,2020,"TEXAS"
"738","ST. THOMAS UNIVERSITY (FLORIDA)",53,35,0,26,88,62,2020,"FLORIDA"
"739","ST. THOMAS, UNIVERSITY OF (MINNESOTA)",91,56,0,24,147,123,2020,"MINNESOTA"
"740","STANFORD UNIVERSITY",108,82,0,34,190,156,2020,"CALIFORNIA"
"741","STETSON UNIVERSITY",70,63,0,19,133,114,2020,"FLORIDA"
"742","SUFFOLK UNIVERSITY",102,77,0,27,179,152,2020,"MASSACHUSETTS"
"743","SYRACUSE UNIVERSITY",59,41,0,13,100,87,2020,"NEW YORK"
"744","TEMPLE UNIVERSITY",107,82,0,36,189,153,2020,"PENNSYLVANIA"
"745","TENNESSEE, UNIVERSITY OF",58,37,0,10,95,85,2020,"TENNESSEE"
"746","TEXAS A&M UNIVERSITY",60,49,0,23,109,86,2020,"TEXAS"
"747","TEXAS AT AUSTIN, UNIVERSITY OF",219,85,0,36,304,268,2020,"TEXAS"
"748","TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW",33,59,0,78,92,14,2020,NA
"749","TEXAS TECH UNIVERSITY",36,23,0,9,59,50,2020,"TEXAS"
"750","TOLEDO, UNIVERSITY OF",24,19,0,6,43,37,2020,"OHIO"
"751","TOURO UNIVERSITY",48,32,0,9,80,71,2020,"NEW YORK"
"752","TULANE UNIVERSITY",102,46,0,19,148,129,2020,"LOUISIANA"
"753","TULSA, UNIVERSITY OF",25,24,0,6,49,43,2020,"OKLAHOMA"
"754","UNIVERSITY OF BUFFALO-SUNY",70,49,0,9,119,110,2020,"NEW YORK"
"755","UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",135,88,0,42,223,181,2020,"CALIFORNIA"
"756","UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW",106,74,0,38,180,142,2020,"ILLINOIS"
"757","UNIVERSITY OF MASSACHUSETTS DARTMOUTH",28,17,0,5,45,40,2020,"MASSACHUSETTS"
"758","UNIVERSITY OF NEVADA - LAS VEGAS",56,40,0,19,96,77,2020,"NEVADA"
"759","UTAH, UNIVERSITY OF",50,45,0,13,95,82,2020,"UTAH"
"760","VANDERBILT UNIVERSITY",88,51,0,20,139,119,2020,"TENNESSEE"
"761","VERMONT LAW SCHOOL",62,67,0,5,129,124,2020,"VERMONT"
"762","VILLANOVA UNIVERSITY",63,52,0,19,115,96,2020,"PENNSYLVANIA"
"763","VIRGINIA, UNIVERSITY OF",161,73,0,23,234,211,2020,"VIRGINIA"
"764","WAKE FOREST UNIVERSITY",79,46,0,19,125,106,2020,"NORTH CAROLINA"
"765","WASHBURN UNIVERSITY",34,26,0,7,60,53,2020,"KANSAS"
"766","WASHINGTON AND LEE UNIVERSITY",59,30,0,9,89,80,2020,"VIRGINIA"
"767","WASHINGTON UNIVERSITY",110,73,0,28,183,155,2020,"MISSOURI"
"768","WASHINGTON, UNIVERSITY OF",87,54,0,25,141,116,2020,"WASHINGTON"
"769","WAYNE STATE UNIVERSITY",58,45,0,12,103,91,2020,"MICHIGAN"
"770","WEST VIRGINIA UNIVERSITY",37,27,0,4,64,60,2020,"WEST VIRGINIA"
"771","COOLEY LAW SCHOOL",127,82,0,34,209,175,2020,NA
"772","WESTERN NEW ENGLAND UNIVERSITY",36,28,0,6,64,58,2020,"MASSACHUSETTS"
"773","WESTERN STATE COLLEGE OF LAW",26,20,0,12,46,34,2020,"CALIFORNIA"
"774","WIDENER UNIVERSITY-DELAWARE",43,40,0,6,83,77,2020,"DELAWARE"
"775","WIDENER-COMMONWEALTH",40,25,0,2,65,63,2020,"PENNSYLVANIA"
"776","WILLAMETTE UNIVERSITY",32,22,0,7,54,47,2020,"OREGON"
"777","WILLIAM AND MARY LAW SCHOOL",106,55,0,19,161,142,2020,"VIRGINIA"
"778","WISCONSIN, UNIVERSITY OF",72,56,0,21,128,107,2020,"WISCONSIN"
"779","WYOMING, UNIVERSITY OF",24,13,0,6,37,31,2020,"WYOMING"
"780","YALE UNIVERSITY",160,88,1,33,249,216,2020,"CONNECTICUT"
"781","AKRON, UNIVERSITY OF",39,24,0,3,63,60,2021,"OHIO"
"782","ALABAMA, UNIVERSITY OF",66,29,0,12,95,83,2021,"ALABAMA"
"783","ALBANY LAW SCHOOL",48,35,0,12,83,71,2021,"NEW YORK"
"784","AMERICAN UNIVERSITY",152,138,0,64,290,226,2021,"DISTRICT OF COLUMBIA"
"785","APPALACHIAN SCHOOL OF LAW",17,10,0,3,27,24,2021,"VIRGINIA"
"786","ARIZONA STATE UNIVERSITY",141,68,0,39,209,170,2021,"ARIZONA"
"787","ARIZONA, UNIVERSITY OF",76,73,0,33,149,116,2021,"ARIZONA"
"788","ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",36,28,0,9,64,55,2021,"ARKANSAS"
"789","ARKANSAS, LITTLE ROCK, UNIVERSITY OF",46,41,0,13,87,74,2021,"ARKANSAS"
"790","ATLANTA'S JOHN MARSHALL LAW SCHOOL",15,19,0,9,34,25,2021,"GEORGIA"
"791","AVE MARIA SCHOOL OF LAW",21,15,0,2,36,34,2021,"FLORIDA"
"792","BALTIMORE, UNIVERSITY OF",84,60,0,27,144,117,2021,"MARYLAND"
"793","BARRY UNIVERSITY",40,28,0,16,68,52,2021,"FLORIDA"
"794","BAYLOR UNIVERSITY",109,49,0,15,158,143,2021,"TEXAS"
"795","BELMONT UNIVERSITY",29,13,0,6,42,36,2021,"TENNESSEE"
"796","BOSTON COLLEGE",75,67,0,26,142,116,2021,"MASSACHUSETTS"
"797","BOSTON UNIVERSITY",120,88,2,23,210,187,2021,"MASSACHUSETTS"
"798","BRIGHAM YOUNG UNIVERSITY",55,32,0,9,87,78,2021,"UTAH"
"799","BROOKLYN LAW SCHOOL",116,79,0,36,195,159,2021,"NEW YORK"
"800","CALIFORNIA WESTERN SCHOOL OF LAW",58,54,0,25,112,87,2021,"CALIFORNIA"
"801","CALIFORNIA-BERKELEY, UNIVERSITY OF",153,131,0,61,284,223,2021,"CALIFORNIA"
"802","CALIFORNIA-DAVIS, UNIVERSITY OF",62,53,0,40,115,75,2021,"CALIFORNIA"
"803","CALIFORNIA-IRVINE, UNIVERSITY OF",73,69,1,41,143,102,2021,"CALIFORNIA"
"804","CALIFORNIA-LOS ANGELES, UNIVERSITY OF",113,84,0,45,197,152,2021,"CALIFORNIA"
"805","CAMPBELL UNIVERSITY",60,46,0,20,106,86,2021,"NORTH CAROLINA"
"806","CAPITAL UNIVERSITY",52,26,0,10,78,68,2021,"OHIO"
"807","CARDOZO SCHOOL OF LAW",166,131,0,30,297,267,2021,"NEW YORK"
"808","CASE WESTERN RESERVE UNIVERSITY",72,30,0,9,102,93,2021,"OHIO"
"809","CATHOLIC UNIVERSITY OF AMERICA",58,28,0,8,86,78,2021,"DISTRICT OF COLUMBIA"
"810","CHAPMAN UNIVERSITY",65,47,0,17,112,95,2021,"CALIFORNIA"
"811","CHARLESTON SCHOOL OF LAW",41,34,0,8,75,67,2021,"SOUTH CAROLINA"
"812","CHICAGO, UNIVERSITY OF",132,51,0,35,183,148,2021,"ILLINOIS"
"813","CHICAGO-KENT COLLEGE OF LAW-IIT",96,44,0,26,140,114,2021,"ILLINOIS"
"814","CINCINNATI, UNIVERSITY OF",46,39,0,12,85,73,2021,"OHIO"
"815","CITY UNIVERSITY OF NEW YORK",31,65,0,42,96,54,2021,"NEW YORK"
"816","CLEVELAND STATE UNIVERSITY",52,34,0,13,86,73,2021,"OHIO"
"817","COLORADO, UNIVERSITY OF",62,47,0,18,109,91,2021,"COLORADO"
"818","COLUMBIA UNIVERSITY",215,152,0,60,367,307,2021,"NEW YORK"
"819","CONNECTICUT, UNIVERSITY OF",88,52,0,15,140,125,2021,"CONNECTICUT"
"820","CORNELL UNIVERSITY",113,67,1,32,181,149,2021,"NEW YORK"
"821","CREIGHTON UNIVERSITY",34,19,0,6,53,47,2021,"NEBRASKA"
"822","DAYTON, UNIVERSITY OF",50,43,0,16,93,77,2021,"OHIO"
"823","DENVER, UNIVERSITY OF",83,69,0,22,152,130,2021,"COLORADO"
"824","DEPAUL UNIVERSITY",64,64,4,29,132,103,2021,"ILLINOIS"
"825","DETROIT MERCY, UNIVERSITY OF",42,41,0,12,83,71,2021,"MICHIGAN"
"826","DISTRICT OF COLUMBIA",17,30,0,25,47,22,2021,"DISTRICT OF COLUMBIA"
"827","DRAKE UNIVERSITY",36,38,0,8,74,66,2021,"IOWA"
"828","DREXEL UNIVERSITY",70,64,1,32,135,103,2021,"PENNSYLVANIA"
"829","DUKE UNIVERSITY",111,72,0,26,183,157,2021,"NORTH CAROLINA"
"830","DUQUESNE UNIVERSITY",51,37,0,14,88,74,2021,"PENNSYLVANIA"
"831","ELON UNIVERSITY",27,32,0,7,59,52,2021,"NORTH CAROLINA"
"832","EMORY UNIVERSITY",103,100,0,37,203,166,2021,"GEORGIA"
"833","FAULKNER UNIVERSITY",21,10,0,4,31,27,2021,"ALABAMA"
"834","FLORIDA A&M UNIVERSITY",30,26,0,41,56,15,2021,"FLORIDA"
"835","FLORIDA INTERNATIONAL UNIVERSITY",51,37,0,40,88,48,2021,"FLORIDA"
"836","FLORIDA STATE UNIVERSITY",75,38,0,20,113,93,2021,"FLORIDA"
"837","FLORIDA, UNIVERSITY OF",143,107,0,49,250,201,2021,"FLORIDA"
"838","FORDHAM UNIVERSITY",226,153,0,59,379,320,2021,"NEW YORK"
"839","GEORGE MASON UNIVERSITY",157,78,0,33,235,202,2021,"VIRGINIA"
"840","GEORGE WASHINGTON UNIVERSITY",297,153,0,60,450,390,2021,"DISTRICT OF COLUMBIA"
"841","GEORGETOWN UNIVERSITY",504,308,0,116,812,696,2021,"DISTRICT OF COLUMBIA"
"842","GEORGIA STATE UNIVERSITY",60,70,0,25,130,105,2021,"GEORGIA"
"843","GEORGIA, UNIVERSITY OF",65,41,0,14,106,92,2021,"GEORGIA"
"844","GOLDEN GATE UNIVERSITY",64,60,0,29,124,95,2021,"CALIFORNIA"
"845","GONZAGA UNIVERSITY",32,33,0,12,65,53,2021,"WASHINGTON"
"846","HARVARD UNIVERSITY",199,140,0,62,339,277,2021,"MASSACHUSETTS"
"847","HAWAII, UNIVERSITY OF",68,51,0,53,119,66,2021,"HAWAII"
"848","HOFSTRA UNIVERSITY",80,48,0,12,128,116,2021,"NEW YORK"
"849","HOUSTON, UNIVERSITY OF",138,79,0,39,217,178,2021,"TEXAS"
"850","HOWARD UNIVERSITY",47,43,0,74,90,16,2021,"DISTRICT OF COLUMBIA"
"851","IDAHO, UNIVERSITY OF",47,42,0,0,89,89,2021,"IDAHO"
"852","ILLINOIS, UNIVERSITY OF",64,53,0,22,117,95,2021,"ILLINOIS"
"853","INDIANA UNIVERSITY - BLOOMINGTON",68,46,0,14,114,100,2021,"INDIANA"
"854","INDIANA UNIVERSITY - INDIANAPOLIS",77,68,0,20,145,125,2021,"INDIANA"
"855","INTER AMERICAN UNIVERSITY OF PUERTO RICO",62,36,0,96,98,2,2021,"PUERTO RICO"
"856","IOWA, UNIVERSITY OF",48,37,0,14,85,71,2021,"IOWA"
"857","KANSAS, UNIVERSITY OF",51,28,0,6,79,73,2021,"KANSAS"
"858","KENTUCKY, UNIVERSITY OF",32,30,0,6,62,56,2021,"KENTUCKY"
"859","LEWIS AND CLARK COLLEGE",80,56,0,20,136,116,2021,"OREGON"
"860","LIBERTY UNIVERSITY",23,13,0,9,36,27,2021,"VIRGINIA"
"861","LINCOLN MEMORIAL",23,22,0,6,45,39,2021,"DISTRICT OF COLUMBIA"
"862","LOUISIANA STATE UNIVERSITY",50,30,0,10,80,70,2021,"LOUISIANA"
"863","LOUISVILLE, UNIVERSITY OF",39,30,0,16,69,53,2021,"KENTUCKY"
"864","LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES",99,72,0,31,171,140,2021,"CALIFORNIA"
"865","LOYOLA UNIVERSITY-CHICAGO",136,169,0,74,305,231,2021,"ILLINOIS"
"866","LOYOLA UNIVERSITY-NEW ORLEANS",52,31,0,20,83,63,2021,"LOUISIANA"
"867","MAINE, UNIVERSITY OF",43,30,0,4,73,69,2021,"MAINE"
"868","MARQUETTE UNIVERSITY",60,48,0,10,108,98,2021,"WISCONSIN"
"869","MARYLAND, UNIVERSITY OF",95,68,0,29,163,134,2021,"MARYLAND"
"870","MCGEORGE SCHOOL OF LAW",56,41,0,23,97,74,2021,"CALIFORNIA"
"871","MEMPHIS, UNIVERSITY OF",36,23,0,11,59,48,2021,"TENNESSEE"
"872","MERCER UNIVERSITY",46,25,0,8,71,63,2021,"GEORGIA"
"873","MIAMI, UNIVERSITY OF",217,120,0,78,337,259,2021,"FLORIDA"
"874","MICHIGAN STATE UNIVERSITY",62,45,0,16,107,91,2021,"MICHIGAN"
"875","MICHIGAN, UNIVERSITY OF",104,67,0,28,171,143,2021,"MICHIGAN"
"876","MINNESOTA, UNIVERSITY OF",167,105,0,42,272,230,2021,"MINNESOTA"
"877","MISSISSIPPI COLLEGE",24,25,0,17,49,32,2021,"MISSISSIPPI"
"878","MISSISSIPPI, UNIVERSITY OF",38,24,0,7,62,55,2021,"MISSISSIPPI"
"879","MISSOURI, UNIVERSITY OF",27,19,0,8,46,38,2021,"MISSOURI"
"880","MISSOURI-KANSAS CITY, UNIVERSITY OF",69,49,0,11,118,107,2021,"MISSOURI"
"881","MITCHELL | HAMLINE",88,90,1,23,179,156,2021,NA
"882","MONTANA, UNIVERSITY OF",14,20,0,3,34,31,2021,"MONTANA"
"883","NEBRASKA, UNIVERSITY OF",48,29,0,5,77,72,2021,"NEBRASKA"
"884","NEW ENGLAND LAW | BOSTON",72,54,0,9,126,117,2021,"MASSACHUSETTS"
